GOOGL,AAPL,YHOO
532.109985,109.750044,49.939999
528.039978,110.07451,49.209999
536.109985,112.208162,50.509998
530.72998,110.516976,49.619999
528.080017,113.073417,50.990002
542.580017,113.555206,50.41
536.969971,113.987837,50.279999
538.590027,112.709613,50.669998
539.650024,113.142244,50.099998
549.080017,116.937578,51.740002
547.72998,117.006405,51.93
549.22998,115.629858,51.720001
547.47998,116.642601,51.830002
545.890015,114.518791,51.040001
543.76001,114.361468,51.25
547.200012,112.748943,50.580002
544.51001,113.535544,51.75
546.640015,112.080335,52.369999
555.190002,112.267154,51.75
556.440002,110.929938,50.5
558.25,109.38624,50.599998
561.289978,107.862204,49.049999
558.22998,107.006784,49.41
551.820007,107.183769,48.549999
551.690002,106.878957,47.93
555.950012,106.574152,47.459999
564.190002,106.319609,47.080002
563.77002,107.102814,46.34
567.869995,105.732209,46.049999
560.27002,104.733631,45.630001
558.450012,105.086065,45.43
558.940002,104.498665,45.869999
549.880005,102.902894,44.700001
548.900024,103.010585,43.5
553.650024,102.628775,42.599998
542.690002,100.827408,42
538.030029,100.31833,40.18
532.380005,97.665236,39.279999
522.969971,95.619118,38.450001
536.919983,94.238729,38.119999
540.72998,95.49185,37.82
548.690002,96.676442,37.970001
544.75,97.714181,38.380001
555.190002,98.614869,39.599998
570.809998,98.898773,41.099998
583.73999,98.683398,41.080002
574.099976,96.676442,40.93
587.780029,97.528176,41.52
586.25,97.528176,41.029999
580.880005,97.802295,40.5
579.630005,97.097413,40.32
588.409973,98.634445,40.75
587.809998,98.007885,40.52
587.900024,98.634445,40.66
585.25,95.814922,38.950001
598.419983,99.613447,39.880001
591.179993,100.484758,39.049999
597.27002,98.937934,38.650002
605.400024,98.840035,40.93
597.27002,99.652608,42.09
593.289978,99.447019,42.59
588.780029,98.742136,42.709999
581.640015,99.495964,42.549999
584.900024,99.525341,42.880001
591.109985,99.300167,41.259998
593.419983,98.879196,41.139999
591.969971,95.932398,40.779999
601.630005,96.294631,41.810001
597.780029,96.891823,39.59
593.140015,96.059673,39.189999
589.52002,96.862454,38.869999
588.630005,101.130903,39.27
582.359985,100.347699,38.509998
580.320007,100.102948,38.310001
583,99.985465,38.18
588.119995,98.771505,37.790001
590.570007,99.407858,37.709999
592.539978,99.192476,38.009998
592.419983,98.468017,37.639999
595.409973,98.458225,37.5
597.109985,98.419064,37.830002
592.700012,97.077836,37.380001
583.710022,95.922613,36.470001
584.650024,95.452689,36.360001
584.559998,95.198146,36.189999
572.119995,93.954817,35.52
577.25,93.974394,35.790001
577.940002,92.750642,35.91
571.809998,92.496107,35.66
574.48999,92.505895,35.790001
573.140015,92.661763,35.700001
582.27002,93.11961,36.529999
573.599976,93.645656,35.619999
579.549988,93.129354,35.810001
595.440002,95.613456,36.599998
593.950012,95.837508,35.68
599.02002,96.460967,35.900002
598.080017,95.145858,36.119999
603.01001,94.522398,36.169998
605.190002,94.678267,34.709999
603.570007,92.272099,33.599998
598.440002,91.512258,33.279999
605.109985,91.989593,33.330002
580.820007,90.684219,33.209999
590.619995,92.330546,33.790001
593.059998,92.856591,35.610001
594.26001,93.957386,35.700001
586.650024,92.759177,35.43
580.039978,92.583829,34.93
583.359985,92.924782,34.849998
578.400024,92.885815,34.529999
590.76001,93.489795,35.52
593.080017,91.599929,36.139999
590.780029,91.064147,35.880001
591.48999,91.103107,35.349998
